#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-12-07T21:20:05 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5665f73e2bf6	
#INFO	-out.max=unlimited	
#INFO	queryParameters=18	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/208/10&tab:{J/ApJS/208/10/model}&key:source=J/ApJS/208/10/model&HTTPPRM:&
#-source=J/ApJS/208/10/model
#-order=I
#-out=Z
#-out=kappa
#-out=logq
#-out=O2-3727
#-out=O2-3729
#-out=O3-4959
#-out=O3-5007
#-out=O1-6300
#-out=N2-6548
#-out=Ha
#-out=N2-6584
#-out=S2-6717
#-out=S2-6731
#

#RESOURCE=yCat_22080010
#Name: J/ApJS/208/10
#Title: Effects of a {kappa}-distribution in HII regions (Dopita+, 2013)
#Table	J_ApJS_208_10_model:
#Name: J/ApJS/208/10/model
#Title: Line fluxes (relative to H{beta}=1.0) and temperatures given by the MAPPINGS 4 models {\em(tables 4--6 of paper)}
#Column	Z	(F5.2)	[0.05/5] Model metallicity (relative to Sun)	[ucd=phys.abund.Z;meta.modelled]
#Column	kappa	(I2)	[10/50]? Model {kappa} value (blank values mean {\bf{infinity}}) [NULL integer written as an empty string]	[ucd=stat.param]
#Column	logq	(F5.2)	[6.5/8.5] Model ionization parameter (G1)	[ucd=stat.param]
#Column	O2-3727	(F7.4)	The [O II] 3727{AA} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	O2-3729	(F7.4)	The [O II] 3729{AA} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	O3-4959	(F7.4)	The [O III] 4959 line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	O3-5007	(F7.4)	The [O III] 5007 line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	O1-6300	(F7.4)	The [O I] 6300{AA} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	N2-6548	(F7.4)	The [N II] 6548{AA} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	Ha	(F7.4)	The H{alpha} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	N2-6584	(F7.4)	The [N II] 6584{AA} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	S2-6717	(F7.4)	The [S II] 6717{AA} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Column	S2-6731	(F7.4)	The [S II] 6731{AA} line flux (1)	[ucd=spect.line.intensity;arith.ratio]
#Z;kappa;logq;O2-3727;O2-3729;O3-4959;O3-5007;O1-6300;N2-6548;Ha;N2-6584;S2-6717;S2-6731
#Sun; ;[m/s]; ; ; ; ; ; ; ; ; ;
#-----;--;-----;-------;-------;-------;-------;-------;-------;-------;-------;-------;-------
 5.00;10; 7.75; 0.0906; 0.1158; 0.0122; 0.0353; 0.0032; 0.1274; 3.3090; 0.3749; 0.0862; 0.0610
 5.00;10; 7.50; 0.0934; 0.1181; 0.0091; 0.0262; 0.0040; 0.1387; 3.2980; 0.4079; 0.1097; 0.0776
 5.00;10; 7.25; 0.0887; 0.1110; 0.0053; 0.0153; 0.0049; 0.1396; 3.3060; 0.4107; 0.1303; 0.0922
 5.00;10; 7.00; 0.0660; 0.0796; 0.0021; 0.0061; 0.0050; 0.1155; 3.3390; 0.3399; 0.1296; 0.0921
 5.00;10; 6.75; 0.0368; 0.0407; 0.0006; 0.0017; 0.0042; 0.0767; 3.4030; 0.2257; 0.1031; 0.0739
 5.00;10; 6.50; 0.0126; 0.0116; 0.0001; 0.0003; 0.0027; 0.0368; 3.5050; 0.1084; 0.0586; 0.0427
 3.00;  ; 8.50; 0.2716; 0.3893; 0.1242; 0.3591; 0.0113; 0.1468; 3.1290; 0.4318; 0.0999; 0.0694
 3.00;  ; 8.25; 0.2880; 0.4139; 0.1162; 0.3358; 0.0124; 0.1674; 3.1080; 0.4925; 0.1198; 0.0829
 3.00;  ; 8.00; 0.3166; 0.4555; 0.1095; 0.3164; 0.0147; 0.2002; 3.0850; 0.5891; 0.1553; 0.1073
 3.00;  ; 7.75; 0.3512; 0.5055; 0.0994; 0.2875; 0.0183; 0.2449; 3.0620; 0.7206; 0.2128; 0.1470
 3.00;  ; 7.50; 0.3806; 0.5478; 0.0811; 0.2345; 0.0232; 0.2950; 3.0450; 0.8679; 0.2975; 0.2054
 3.00;  ; 7.25; 0.3884; 0.5589; 0.0547; 0.1581; 0.0289; 0.3347; 3.0350; 0.9847; 0.4052; 0.2797
 3.00;  ; 7.00; 0.3620; 0.5208; 0.0286; 0.0827; 0.0348; 0.3458; 3.0350; 1.0180; 0.5182; 0.3577
 3.00;  ; 6.75; 0.3058; 0.4398; 0.0118; 0.0340; 0.0402; 0.3246; 3.0410; 0.9551; 0.6114; 0.4222
 3.00;  ; 6.50; 0.2356; 0.3388; 0.0041; 0.0117; 0.0447; 0.2809; 3.0530; 0.8264; 0.6606; 0.4563
 3.00;50; 8.50; 0.3144; 0.4499; 0.1458; 0.4213; 0.0113; 0.1469; 3.1340; 0.4321; 0.1009; 0.0701
 3.00;50; 8.25; 0.3371; 0.4836; 0.1374; 0.3972; 0.0124; 0.1680; 3.1150; 0.4944; 0.1212; 0.0840
 3.00;50; 8.00; 0.3759; 0.5400; 0.1301; 0.3760; 0.0147; 0.2018; 3.0920; 0.5938; 0.1575; 0.1091
 3.00;50; 7.75; 0.4245; 0.6100; 0.1176; 0.3400; 0.0184; 0.2478; 3.0700; 0.7291; 0.2163; 0.1496
 3.00;50; 7.50; 0.4692; 0.6743; 0.0945; 0.2730; 0.0235; 0.2994; 3.0540; 0.8809; 0.3028; 0.2093
 3.00;50; 7.25; 0.4880; 0.7012; 0.0622; 0.1797; 0.0298; 0.3404; 3.0450; 1.0010; 0.4136; 0.2859
 3.00;50; 7.00; 0.4643; 0.6670; 0.0320; 0.0924; 0.0363; 0.3531; 3.0440; 1.0390; 0.5313; 0.3672
 3.00;50; 6.75; 0.4009; 0.5757; 0.0131; 0.0377; 0.0428; 0.3334; 3.0500; 0.9809; 0.6311; 0.4363
 3.00;50; 6.50; 0.3163; 0.4540; 0.0045; 0.0130; 0.0483; 0.2906; 3.0630; 0.8550; 0.6873; 0.4753
 3.00;20; 8.50; 0.3713; 0.5295; 0.1810; 0.5232; 0.0107; 0.1435; 3.1450; 0.4224; 0.1000; 0.0697
 3.00;20; 8.25; 0.4043; 0.5783; 0.1718; 0.4965; 0.0118; 0.1651; 3.1270; 0.4859; 0.1207; 0.0838
 3.00;20; 8.00; 0.4588; 0.6570; 0.1624; 0.4694; 0.0141; 0.1993; 3.1060; 0.5865; 0.1572; 0.1090
 3.00;20; 7.75; 0.5298; 0.7591; 0.1447; 0.4183; 0.0178; 0.2463; 3.0860; 0.7248; 0.2167; 0.1502
 3.00;20; 7.50; 0.5966; 0.8549; 0.1128; 0.3260; 0.0232; 0.2984; 3.0700; 0.8781; 0.3040; 0.2106
 3.00;20; 7.25; 0.6321; 0.9056; 0.0716; 0.2071; 0.0299; 0.3400; 3.0620; 1.0000; 0.4164; 0.2884
 3.00;20; 7.00; 0.6132; 0.8784; 0.0358; 0.1034; 0.0374; 0.3541; 3.0620; 1.0420; 0.5385; 0.3729
 3.00;20; 6.75; 0.5423; 0.7765; 0.0144; 0.0415; 0.0454; 0.3369; 3.0700; 0.9913; 0.6461; 0.4475
 3.00;20; 6.50; 0.4428; 0.6336; 0.0049; 0.0143; 0.0528; 0.2981; 3.0830; 0.8772; 0.7140; 0.4947
 3.00;10; 8.50; 0.4468; 0.6319; 0.2441; 0.7056; 0.0096; 0.1322; 3.1670; 0.3890; 0.0959; 0.0670
 3.00;10; 8.25; 0.5009; 0.7108; 0.2317; 0.6698; 0.0108; 0.1542; 3.1510; 0.4538; 0.1169; 0.0815
 3.00;10; 8.00; 0.5854; 0.8324; 0.2154; 0.6227; 0.0130; 0.1887; 3.1330; 0.5552; 0.1537; 0.1070
 3.00;10; 7.75; 0.6944; 0.9885; 0.1850; 0.5346; 0.0169; 0.2359; 3.1160; 0.6942; 0.2134; 0.1484
 3.00;10; 7.50; 0.8030; 1.1440; 0.1372; 0.3965; 0.0226; 0.2890; 3.1030; 0.8504; 0.3017; 0.2097
 3.00;10; 7.25; 0.8721; 1.2430; 0.0828; 0.2394; 0.0303; 0.3326; 3.0970; 0.9787; 0.4176; 0.2902
 3.00;10; 7.00; 0.8662; 1.2340; 0.0397; 0.1149; 0.0395; 0.3494; 3.0980; 1.0280; 0.5459; 0.3794
 3.00;10; 6.75; 0.7891; 1.1230; 0.0157; 0.0454; 0.0495; 0.3366; 3.1060; 0.9904; 0.6627; 0.4606
 3.00;10; 6.50; 0.6641; 0.9438; 0.0054; 0.0156; 0.0590; 0.3016; 3.1200; 0.8873; 0.7395; 0.5142
 2.00;  ; 8.50; 0.5862; 0.8442; 0.5160; 1.4920; 0.0283; 0.1255; 3.0100; 0.3694; 0.1419; 0.0983
 2.00;  ; 8.25; 0.6283; 0.9058; 0.4930; 1.4250; 0.0292; 0.1400; 3.0050; 0.4118; 0.1593; 0.1102
 2.00;  ; 8.00; 0.7061; 1.0190; 0.4666; 1.3490; 0.0317; 0.1656; 2.9970; 0.4874; 0.1929; 0.1334
 2.00;  ; 7.75; 0.8266; 1.1930; 0.4233; 1.2240; 0.0366; 0.2067; 2.9870; 0.6083; 0.2538; 0.1754
 2.00;  ; 7.50; 0.9796; 1.4140; 0.3498; 1.0110; 0.0446; 0.2629; 2.9780; 0.7735; 0.3544; 0.2447
 2.00;  ; 7.25; 1.1300; 1.6310; 0.2467; 0.7131; 0.0569; 0.3248; 2.9710; 0.9555; 0.5043; 0.3481
 2.00;  ; 7.00; 1.2210; 1.7630; 0.1399; 0.4044; 0.0745; 0.3736; 2.9680; 1.0990; 0.7042; 0.4859
 2.00;  ; 6.75; 1.2090; 1.7440; 0.0628; 0.1816; 0.0975; 0.3927; 2.9700; 1.1550; 0.9368; 0.6462
 2.00;  ; 6.50; 1.0970; 1.5840; 0.0235; 0.0679; 0.1249; 0.3807; 2.9750; 1.1200; 1.1680; 0.8055
 2.00;50; 8.50; 0.6060; 0.8718; 0.5587; 1.6150; 0.0255; 0.1194; 3.0190; 0.3513; 0.1352; 0.0938
 2.00;50; 8.25; 0.6559; 0.9447; 0.5329; 1.5400; 0.0266; 0.1337; 3.0140; 0.3934; 0.1526; 0.1057
 2.00;50; 8.00; 0.7441; 1.0720; 0.5010; 1.4480; 0.0292; 0.1589; 3.0060; 0.4674; 0.1859; 0.1286
 2.00;50; 7.75; 0.8807; 1.2700; 0.4494; 1.2990; 0.0340; 0.1991; 2.9970; 0.5857; 0.2457; 0.1699
 2.00;50; 7.50; 1.0550; 1.5210; 0.3653; 1.0560; 0.0423; 0.2541; 2.9880; 0.7476; 0.3448; 0.2383
 2.00;50; 7.25; 1.2240; 1.7640; 0.2526; 0.7300; 0.0548; 0.3141; 2.9810; 0.9241; 0.4919; 0.3399
 2.00;50; 7.00; 1.3230; 1.9080; 0.1403; 0.4056; 0.0727; 0.3607; 2.9790; 1.0610; 0.6873; 0.4748
 2.00;50; 6.75; 1.3120; 1.8920; 0.0621; 0.1794; 0.0963; 0.3786; 2.9810; 1.1140; 0.9156; 0.6323
 2.00;50; 6.50; 1.1990; 1.7280; 0.0230; 0.0665; 0.1247; 0.3674; 2.9860; 1.0810; 1.1440; 0.7897
 2.00;20; 8.50; 0.6082; 0.8733; 0.6125; 1.7700; 0.0202; 0.1073; 3.0370; 0.3158; 0.1215; 0.0843
 2.00;20; 8.25; 0.6645; 0.9553; 0.5817; 1.6810; 0.0212; 0.1208; 3.0320; 0.3553; 0.1380; 0.0957
 2.00;20; 8.00; 0.7658; 1.1020; 0.5414; 1.5650; 0.0236; 0.1446; 3.0250; 0.4256; 0.1698; 0.1177
 2.00;20; 7.75; 0.9173; 1.3200; 0.4765; 1.3770; 0.0281; 0.1823; 3.0160; 0.5363; 0.2264; 0.1568
 2.00;20; 7.50; 1.1070; 1.5940; 0.3769; 1.0900; 0.0357; 0.2332; 3.0080; 0.6862; 0.3189; 0.2207
 2.00;20; 7.25; 1.2820; 1.8460; 0.2515; 0.7270; 0.0473; 0.2875; 3.0030; 0.8457; 0.4549; 0.3148
 2.00;20; 7.00; 1.3760; 1.9800; 0.1344; 0.3885; 0.0640; 0.3275; 3.0030; 0.9636; 0.6340; 0.4386
 2.00;20; 6.75; 1.3460; 1.9370; 0.0572; 0.1653; 0.0861; 0.3396; 3.0070; 0.9992; 0.8403; 0.5812
 2.00;20; 6.50; 1.2170; 1.7520; 0.0205; 0.0592; 0.1132; 0.3259; 3.0140; 0.9590; 1.0440; 0.7222
 2.00;10; 8.50; 0.5729; 0.8190; 0.6676; 1.9300; 0.0144; 0.0854; 3.0680; 0.2514; 0.1016; 0.0707
 2.00;10; 8.25; 0.6371; 0.9121; 0.6285; 1.8170; 0.0154; 0.0972; 3.0640; 0.2860; 0.1168; 0.0812
 2.00;10; 8.00; 0.7463; 1.0690; 0.5731; 1.6560; 0.0175; 0.1176; 3.0570; 0.3461; 0.1454; 0.1010
 2.00;10; 7.75; 0.9042; 1.2960; 0.4862; 1.4050; 0.0214; 0.1493; 3.0480; 0.4394; 0.1953; 0.1356
 2.00;10; 7.50; 1.0870; 1.5580; 0.3633; 1.0500; 0.0280; 0.1907; 3.0410; 0.5610; 0.2752; 0.1910
 2.00;10; 7.25; 1.2430; 1.7830; 0.2248; 0.6499; 0.0384; 0.2331; 3.0380; 0.6860; 0.3915; 0.2717
 2.00;10; 7.00; 1.3170; 1.8880; 0.1104; 0.3190; 0.0539; 0.2631; 3.0400; 0.7740; 0.5445; 0.3778
 2.00;10; 6.75; 1.2780; 1.8330; 0.0436; 0.1260; 0.0753; 0.2703; 3.0440; 0.7952; 0.7220; 0.5009
 2.00;10; 6.50; 1.1670; 1.6740; 0.0149; 0.0431; 0.1021; 0.2600; 3.0510; 0.7650; 0.9012; 0.6250
 1.00;  ; 8.50; 0.8748; 1.2640; 1.3340; 3.8560; 0.0386; 0.0704; 2.9180; 0.2072; 0.1596; 0.1106
 1.00;  ; 8.25; 0.9168; 1.3250; 1.2870; 3.7200; 0.0395; 0.0745; 2.9180; 0.2193; 0.1684; 0.1167
 1.00;  ; 8.00; 1.0070; 1.4550; 1.2160; 3.5160; 0.0418; 0.0830; 2.9170; 0.2443; 0.1875; 0.1298
 1.00;  ; 7.75; 1.1790; 1.7040; 1.1050; 3.1940; 0.0469; 0.0994; 2.9140; 0.2924; 0.2264; 0.1567
 1.00;  ; 7.50; 1.4610; 2.1120; 0.9331; 2.6970; 0.0570; 0.1271; 2.9090; 0.3738; 0.2979; 0.2062
 1.00;  ; 7.25; 1.8350; 2.6530; 0.6946; 2.0080; 0.0744; 0.1660; 2.9040; 0.4883; 0.4171; 0.2886
 1.00;  ; 7.00; 2.1960; 3.1750; 0.4274; 1.2360; 0.1020; 0.2081; 2.9010; 0.6124; 0.5972; 0.4131
 1.00;  ; 6.75; 2.3950; 3.4640; 0.2082; 0.6018; 0.1425; 0.2392; 2.9010; 0.7037; 0.8431; 0.5831
 1.00;  ; 6.50; 2.3760; 3.4360; 0.0818; 0.2365; 0.1979; 0.2502; 2.9040; 0.7362; 1.1450; 0.7917
 1.00;50; 8.50; 0.8257; 1.1920; 1.3390; 3.8690; 0.0316; 0.0640; 2.9320; 0.1883; 0.1443; 0.1000
 1.00;50; 8.25; 0.8691; 1.2550; 1.2900; 3.7290; 0.0324; 0.0679; 2.9320; 0.1997; 0.1527; 0.1058
 1.00;50; 8.00; 0.9604; 1.3870; 1.2160; 3.5140; 0.0345; 0.0759; 2.9310; 0.2234; 0.1708; 0.1183
 1.00;50; 7.75; 1.1320; 1.6360; 1.0980; 3.1730; 0.0390; 0.0913; 2.9290; 0.2687; 0.2073; 0.1436
 1.00;50; 7.50; 1.4090; 2.0350; 0.9158; 2.6470; 0.0477; 0.1171; 2.9250; 0.3446; 0.2741; 0.1898
 1.00;50; 7.25; 1.7610; 2.5440; 0.6680; 1.9310; 0.0629; 0.1528; 2.9220; 0.4495; 0.3843; 0.2660
 1.00;50; 7.00; 2.0750; 2.9990; 0.3987; 1.1520; 0.0869; 0.1900; 2.9220; 0.5590; 0.5484; 0.3795
 1.00;50; 6.75; 2.2090; 3.1930; 0.1864; 0.5388; 0.1219; 0.2150; 2.9250; 0.6324; 0.7689; 0.5320
 1.00;50; 6.50; 2.1260; 3.0730; 0.0699; 0.2020; 0.1696; 0.2203; 2.9320; 0.6481; 1.0330; 0.7146
 1.00;20; 8.50; 0.7338; 1.0580; 1.3120; 3.7920; 0.0222; 0.0539; 2.9590; 0.1585; 0.1205; 0.0836
 1.00;20; 8.25; 0.7772; 1.1210; 1.2610; 3.6460; 0.0229; 0.0574; 2.9590; 0.1689; 0.1282; 0.0889
 1.00;20; 8.00; 0.8660; 1.2500; 1.1810; 3.4130; 0.0245; 0.0646; 2.9600; 0.1901; 0.1445; 0.1001
 1.00;20; 7.75; 1.0280; 1.4840; 1.0510; 3.0380; 0.0279; 0.0782; 2.9590; 0.2300; 0.1769; 0.1226
 1.00;20; 7.50; 1.2770; 1.8440; 0.8534; 2.4670; 0.0346; 0.1004; 2.9600; 0.2954; 0.2351; 0.1629
 1.00;20; 7.25; 1.5680; 2.2630; 0.5943; 1.7180; 0.0462; 0.1298; 2.9630; 0.3820; 0.3289; 0.2278
 1.00;20; 7.00; 1.7770; 2.5660; 0.3306; 0.9555; 0.0641; 0.1578; 2.9690; 0.4642; 0.4643; 0.3216
 1.00;20; 6.75; 1.7880; 2.5800; 0.1409; 0.4073; 0.0897; 0.1718; 2.9810; 0.5056; 0.6382; 0.4419
 1.00;20; 6.50; 1.6090; 2.3230; 0.0477; 0.1378; 0.1233; 0.1679; 2.9950; 0.4941; 0.8336; 0.5769
 1.00;10; 8.50; 0.5761; 0.8286; 1.1910; 3.4440; 0.0139; 0.0385; 3.0110; 0.1134; 0.0904; 0.0628
 1.00;10; 8.25; 0.6160; 0.8864; 1.1360; 3.2830; 0.0144; 0.0414; 3.0120; 0.1217; 0.0969; 0.0673
 1.00;10; 8.00; 0.6941; 0.9991; 1.0430; 3.0150; 0.0156; 0.0470; 3.0150; 0.1384; 0.1107; 0.0768
 1.00;10; 7.75; 0.8281; 1.1920; 0.8923; 2.5790; 0.0182; 0.0574; 3.0190; 0.1690; 0.1373; 0.0953
 1.00;10; 7.50; 1.0110; 1.4560; 0.6734; 1.9460; 0.0232; 0.0736; 3.0260; 0.2165; 0.1837; 0.1275
 1.00;10; 7.25; 1.1780; 1.6960; 0.4161; 1.2030; 0.0317; 0.0928; 3.0340; 0.2729; 0.2551; 0.1770
 1.00;10; 7.00; 1.2220; 1.7590; 0.1952; 0.5641; 0.0448; 0.1066; 3.0400; 0.3137; 0.3525; 0.2445
 1.00;10; 6.75; 1.1060; 1.5900; 0.0682; 0.1971; 0.0630; 0.1075; 3.0410; 0.3163; 0.4688; 0.3251
 1.00;10; 6.50; 0.9097; 1.3080; 0.0190; 0.0550; 0.0869; 0.0980; 3.0430; 0.2884; 0.5915; 0.4099
 0.50;  ; 8.50; 0.9135; 1.3210; 1.7650; 5.1020; 0.0338; 0.0333; 2.8630; 0.0980; 0.1363; 0.0946
 0.50;  ; 8.25; 0.9385; 1.3570; 1.7370; 5.0210; 0.0343; 0.0342; 2.8640; 0.1008; 0.1398; 0.0969
 0.50;  ; 8.00; 0.9963; 1.4410; 1.6780; 4.8510; 0.0355; 0.0364; 2.8640; 0.1071; 0.1479; 0.1026
 0.50;  ; 7.75; 1.1190; 1.6190; 1.5660; 4.5260; 0.0384; 0.0410; 2.8640; 0.1206; 0.1661; 0.1152
 0.50;  ; 7.50; 1.3490; 1.9510; 1.3670; 3.9530; 0.0447; 0.0498; 2.8650; 0.1466; 0.2029; 0.1407
 0.50;  ; 7.25; 1.6970; 2.4560; 1.0590; 3.0620; 0.0568; 0.0642; 2.8670; 0.1889; 0.2694; 0.1868
 0.50;  ; 7.00; 2.0820; 3.0130; 0.6784; 1.9610; 0.0777; 0.0825; 2.8710; 0.2428; 0.3765; 0.2611
 0.50;  ; 6.75; 2.3170; 3.3520; 0.3361; 0.9715; 0.1107; 0.0984; 2.8770; 0.2895; 0.5325; 0.3691
