#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2014-08-21T02:09:09 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ53f54ab5076d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/116/2805&tab:{J/AJ/116/2805/table3}&key:source=J/AJ/116/2805/table3&HTTPPRM:&
#-source=J/AJ/116/2805/table3
#-order=I
#-out=[OII]
#-out=e_[OII]
#-out=[OIII]
#-out=e_[OIII]
#-out=Halpha
#-out=e_Halpha
#-out=[NII]
#-out=e_[NII]
#

#RESOURCE=yCat_51162805
#Name: J/AJ/116/2805
#Title: H II regions in spiral galaxies (Van Zee+, 1998)
#Table	J_AJ_116_2805_table3:
#Name: J/AJ/116/2805/table3
#Title: H II region line strengths
#Column	[OII]	(F5.2)	Relative [O II]3727+3729 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[OII]	(F5.2)	rms uncertainty on [OII]	[ucd=stat.error]
#Column	[OIII]	(F6.3)	Relative [O III] 4959+5007 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[OIII]	(F6.3)	rms uncertainty on [OIII]	[ucd=stat.error]
#Column	Halpha	(F5.2)	Relative H{alpha} 6563 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_Halpha	(F5.2)	rms uncertainty on Halpha	[ucd=stat.error]
#Column	[NII]	(F6.3)	Relative [N II] 6548+6583 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[NII]	(F6.3)	rms uncertainty on [NII]	[ucd=stat.error]
#[OII]	e_[OII]	[OIII]	e_[OIII]	Halpha	e_Halpha	[NII]	e_[NII]
 1.59	 0.06	 0.995	 0.025	 2.90	 0.13	 0.768	 0.028
 3.20	 0.14	 0.545	 0.021	 2.90	 0.14	 0.959	 0.037
 3.40	 0.14	 0.889	 0.023	 2.86	 0.13	 0.825	 0.031
 2.82	 0.12	 1.275	 0.035	 2.86	 0.14	 0.758	 0.030
 3.44	 0.17	 2.286	 0.072	 2.83	 0.15	 0.553	 0.023
 2.54	 0.12	 5.129	 0.154	 2.84	 0.14	 0.289	 0.012
 4.57	 0.22	 1.544	 0.048	 2.75	 0.14	 0.577	 0.023
 4.12	 0.20	 2.716	 0.083	 2.80	 0.14	 0.430	 0.017
 2.51	 0.10	 2.834	 0.063	 2.86	 0.13	 0.397	 0.015
 3.04	 0.20	 3.489	 0.142	 2.83	 0.19	 0.324	 0.022
 3.47	 0.16	 2.409	 0.070	 2.92	 0.15	 0.501	 0.023
 2.72	 0.10	 4.091	 0.090	 2.65	 0.12	 0.318	 0.012
 4.86	 0.24	 1.947	 0.059	 2.80	 0.14	 0.491	 0.020
 4.86	 0.25	 2.656	 0.083	 2.86	 0.15	 0.451	 0.020
 3.74	 0.19	 2.256	 0.071	 2.83	 0.15	 0.328	 0.014
 4.67	 0.29	 1.087	 0.055	 2.83	 0.18	 0.319	 0.024
 2.46	 0.12	 4.575	 0.139	 2.83	 0.14	 0.168	 0.007
 3.32	 0.13	 3.423	 0.076	 2.86	 0.13	 0.366	 0.013
 3.54	 0.18	 3.875	 0.120	 2.80	 0.14	 0.344	 0.015
 3.55	 0.14	 3.760	 0.083	 2.68	 0.12	 0.303	 0.011
 3.29	 0.16	 4.573	 0.140	 2.79	 0.14	 0.296	 0.013
 4.62	 0.27	 1.721	 0.067	 2.83	 0.17	 0.361	 0.020
 3.11	 0.12	 3.467	 0.077	 2.86	 0.13	 0.411	 0.014
 3.08	 0.16	 4.906	 0.155	 2.83	 0.15	 0.234	 0.012
 4.37	 0.22	 2.219	 0.068	 2.82	 0.15	 0.431	 0.018
 3.97	 0.19	 1.994	 0.061	 2.85	 0.14	 0.392	 0.016
 2.41	 0.14	 6.583	 0.222	 2.83	 0.16	 0.257	 0.014
 3.39	 0.17	 4.487	 0.142	 2.83	 0.15	 0.215	 0.010
 2.19	 0.11	 3.913	 0.118	 2.82	 0.14	 0.266	 0.011
 3.38	 0.18	 2.976	 0.099	 2.83	 0.16	 0.359	 0.017
 2.93	 0.15	 5.950	 0.184	 2.77	 0.14	 0.218	 0.010
 3.67	 0.19	 3.678	 0.118	 2.83	 0.15	 0.284	 0.013
 4.75	 0.32	 2.650	 0.118	 3.14	 0.22	 0.324	 0.033
 4.60	 0.26	 2.320	 0.081	 2.86	 0.17	 0.316	 0.019
 3.75	 0.18	 3.854	 0.118	 2.84	 0.15	 0.319	 0.013
 4.73	 0.24	 2.145	 0.070	 2.86	 0.16	 0.308	 0.016
 4.96	 0.30	 1.334	 0.062	 3.06	 0.20	 0.429	 0.028
 4.98	 0.25	 1.499	 0.049	 3.26	 0.17	 0.502	 0.022
 3.94	 0.20	 1.872	 0.060	 2.86	 0.15	 0.323	 0.015
 2.04	 0.10	 5.653	 0.177	 2.79	 0.15	 0.148	 0.008
 1.58	 0.11	 0.632	 0.049	 2.86	 0.19	 1.443	 0.079
 1.47	 0.07	 0.204	 0.011	 2.90	 0.15	 1.172	 0.048
 2.74	 0.16	 0.303	 0.032	 2.86	 0.18	 1.315	 0.069
 2.90	 0.16	 0.412	 0.024	 2.86	 0.16	 1.431	 0.065
 1.49	 0.07	 0.300	 0.010	 2.88	 0.15	 1.349	 0.054
 2.28	 0.11	 0.652	 0.021	 2.84	 0.14	 1.166	 0.047
 3.12	 0.16	 1.066	 0.037	 2.86	 0.16	 1.066	 0.047
 2.53	 0.12	 1.349	 0.041	 2.86	 0.14	 1.018	 0.041
 3.18	 0.15	 0.979	 0.030	 2.88	 0.15	 1.203	 0.048
 4.18	 0.22	 1.590	 0.055	 2.94	 0.16	 1.030	 0.042
 3.26	 0.25	 1.987	 0.110	 2.72	 0.22	 0.685	 0.054
 2.91	 0.15	 1.114	 0.036	 2.79	 0.15	 1.073	 0.045
 2.84	 0.14	 2.086	 0.064	 2.87	 0.15	 0.652	 0.027
 3.51	 0.18	 1.875	 0.060	 2.86	 0.15	 0.821	 0.035
 3.93	 0.20	 2.115	 0.068	 2.86	 0.16	 0.822	 0.035
 3.40	 0.19	 1.639	 0.065	 2.88	 0.17	 0.737	 0.037
 1.89	 0.09	 5.247	 0.159	 2.77	 0.14	 0.314	 0.013
 1.00	 0.05	 0.244	 0.014	 2.92	 0.15	 2.360	 0.097
 2.88	 0.40	 0.198	 0.110	 2.86	 0.38	 1.648	 0.174
 2.20	 0.35	 0.877	 0.156	 2.86	 0.42	 1.730	 0.208
 0.40	 0.04	 0.081	 0.033	 2.86	 0.18	 1.248	 0.065
 1.25	 0.07	 0.395	 0.018	 2.86	 0.16	 1.403	 0.061
 1.44	 0.08	 0.197	 0.023	 2.86	 0.17	 1.359	 0.062
 1.35	 0.07	 0.105	 0.017	 2.86	 0.16	 1.252	 0.055
 1.43	 0.11	 0.207	 0.047	 2.86	 0.20	 1.307	 0.077
 0.67	 0.05	 0.104	 0.024	 2.86	 0.17	 1.216	 0.059
 0.55	 0.04	 0.133	 0.030	 2.71	 0.16	 1.307	 0.064
 0.16	 0.03	 0.056	 0.033	 2.84	 0.18	 1.187	 0.060
 2.17	 0.18	 0.504	 0.064	 2.86	 0.23	 1.488	 0.097
 1.17	 0.06	 0.137	 0.006	 2.75	 0.14	 1.304	 0.054
 1.48	 0.09	 0.144	 0.024	 2.86	 0.17	 1.561	 0.075
 1.46	 0.12	 0.438	 0.058	 2.83	 0.22	 1.599	 0.103
 3.88	 0.20	 0.821	 0.028	 2.86	 0.15	 1.091	 0.046
 3.54	 0.15	 4.651	 0.111	 2.86	 0.14	 0.702	 0.027
 2.07	 0.08	 2.919	 0.064	 2.79	 0.12	 0.321	 0.011
 4.18	 0.23	 0.634	 0.044	 3.95	 0.24	 0.819	 0.042
 3.94	 0.17	 2.067	 0.053	 2.87	 0.14	 0.513	 0.021
 3.87	 0.15	 4.055	 0.092	 2.86	 0.13	 0.416	 0.015
 3.80	 0.16	 1.276	 0.033	 2.86	 0.13	 0.458	 0.017
 3.23	 0.13	 2.900	 0.066	 2.71	 0.12	 0.335	 0.012
 2.81	 0.11	 4.156	 0.091	 2.27	 0.10	 0.183	 0.006
 3.37	 0.13	 2.294	 0.052	 2.86	 0.13	 0.376	 0.014
 2.43	 0.13	 1.380	 0.052	 2.47	 0.14	 0.246	 0.017
 3.48	 0.16	 1.011	 0.032	 2.59	 0.13	 0.335	 0.015
 3.69	 0.16	 2.836	 0.072	 2.76	 0.13	 0.336	 0.014
 3.33	 0.14	 3.106	 0.074	 2.30	 0.11	 0.222	 0.009
 4.10	 0.18	 1.447	 0.039	 2.86	 0.14	 0.291	 0.013
 3.60	 0.15	 2.328	 0.055	 2.54	 0.12	 0.254	 0.011
 3.14	 0.14	 2.570	 0.065	 2.44	 0.12	 0.209	 0.010
 4.33	 0.18	 0.612	 0.017	 2.58	 0.12	 0.308	 0.013
 2.09	 0.10	 1.693	 0.051	 2.86	 0.14	 0.614	 0.024
 3.90	 0.20	 2.226	 0.073	 2.88	 0.16	 0.637	 0.028
 3.63	 0.18	 1.547	 0.048	 2.81	 0.14	 0.713	 0.030
 2.93	 0.15	 1.552	 0.051	 2.88	 0.16	 0.755	 0.034
 4.23	 0.24	 1.995	 0.073	 2.79	 0.16	 0.617	 0.029
 2.68	 0.13	 2.777	 0.083	 2.82	 0.14	 0.467	 0.019
 4.01	 0.20	 2.156	 0.065	 2.82	 0.14	 0.617	 0.025
 4.35	 0.21	 2.512	 0.076	 2.87	 0.15	 0.535	 0.021
 2.52	 0.12	 4.662	 0.140	 2.87	 0.15	 0.275	 0.011
 3.04	 0.17	 3.881	 0.132	 2.90	 0.16	 0.375	 0.021
 3.64	 0.18	 4.552	 0.138	 2.82	 0.14	 0.350	 0.014
 4.83	 0.26	 3.683	 0.123	 2.95	 0.17	 0.452	 0.022
 2.68	 0.14	 3.762	 0.120	 2.97	 0.16	 0.314	 0.014
 3.24	 0.16	 5.371	 0.165	 2.94	 0.15	 0.230	 0.010
 3.11	 0.15	 4.681	 0.140	 2.83	 0.14	 0.270	 0.011
 5.32	 0.31	 2.612	 0.098	 2.79	 0.17	 0.469	 0.026
 1.95	 0.10	 7.003	 0.212	 2.84	 0.15	 0.178	 0.008
 2.47	 0.12	 6.455	 0.197	 2.79	 0.14	 0.166	 0.007
 2.24	 0.18	 3.469	 0.169	 2.91	 0.23	 0.090	 0.015
 1.23	 0.07	 6.338	 0.208	 2.72	 0.15	 0.076	 0.004
 5.32	 0.62	 1.165	 0.144	 2.86	 0.35	 1.105	 0.109
 2.01	 0.14	 2.000	 0.087	 2.85	 0.19	 0.679	 0.037
 3.32	 0.44	 2.490	 0.218	 2.86	 0.37	 0.764	 0.085
 3.64	 0.32	 3.475	 0.193	 2.93	 0.26	 0.612	 0.048
 3.18	 0.24	 1.581	 0.090	 2.86	 0.22	 1.361	 0.088
 3.86	 0.39	 0.148	 0.085	 2.86	 0.17	 1.290	 0.118
 3.36	 0.18	 0.808	 0.042	 2.86	 0.30	 1.218	 0.061
 3.79	 0.20	 0.327	 0.035	 2.86	 0.17	 1.310	 0.063
 3.50	 0.14	 1.885	 0.044	 2.80	 0.13	 0.778	 0.028
 2.90	 0.13	 2.069	 0.056	 2.86	 0.14	 0.712	 0.030
 4.24	 0.25	 0.683	 0.046	 2.86	 0.19	 0.919	 0.053
 3.83	 0.20	 0.614	 0.030	 2.86	 0.16	 0.953	 0.051
 3.51	 0.17	 0.644	 0.030	 2.86	 0.16	 0.892	 0.043
 0.39	 0.02	 0.107	 0.016	 2.86	 0.14	 0.985	 0.041
 0.63	 0.05	 0.191	 0.030	 2.86	 0.17	 1.371	 0.066
 0.69	 0.03	 0.224	 0.013	 2.86	 0.14	 1.180	 0.047
 0.98	 0.06	 0.221	 0.030	 2.86	 0.17	 1.368	 0.064
 0.74	 0.04	 0.129	 0.013	 2.86	 0.14	 1.131	 0.044
 1.21	 0.05	 0.191	 0.015	 2.87	 0.14	 1.243	 0.048
 1.10	 0.07	 0.390	 0.035	 2.86	 0.17	 1.209	 0.056
 1.61	 0.07	 0.196	 0.011	 2.86	 0.13	 1.277	 0.047
 2.62	 0.11	 1.053	 0.024	 2.86	 0.13	 1.154	 0.043
 1.63	 0.11	 0.172	 0.048	 2.86	 0.20	 1.083	 0.066
 1.69	 0.07	 0.352	 0.013	 2.86	 0.14	 1.221	 0.048
 3.94	 0.48	 1.090	 0.141	 2.86	 0.37	 1.267	 0.139
 2.30	 0.12	 0.304	 0.031	 2.86	 0.16	 1.189	 0.057
 1.84	 0.09	 3.747	 0.100	 2.78	 0.14	 0.638	 0.028
 2.35	 0.13	 1.203	 0.049	 2.86	 0.17	 0.993	 0.049
 2.69	 0.15	 0.890	 0.041	 2.82	 0.16	 1.063	 0.051
 2.46	 0.11	 2.117	 0.057	 2.80	 0.14	 0.788	 0.033
 2.03	 0.10	 7.809	 0.281	 2.71	 0.14	 0.648	 0.035
 4.08	 0.19	 1.529	 0.044	 2.72	 0.14	 0.381	 0.002
 3.20	 0.30	 4.076	 0.217	 2.86	 0.33	 0.460	 0.222
 2.88	 0.13	 3.798	 0.105	 2.71	 0.14	 0.244	 0.009
 4.46	 0.21	 2.381	 0.068	 2.82	 0.15	 0.297	 0.013
 2.60	 0.12	 4.076	 0.118	 2.79	 0.15	 0.237	 0.011
 3.67	 0.17	 5.217	 0.149	 2.72	 0.14	 0.232	 0.011
 3.07	 0.14	 2.551	 0.071	 2.77	 0.14	 0.309	 0.013
 4.34	 0.21	 3.217	 0.092	 2.35	 0.12	 0.211	 0.010
 3.94	 0.18	 3.037	 0.086	 2.85	 0.15	 0.326	 0.014
 2.72	 0.13	 4.519	 0.130	 2.68	 0.14	 0.195	 0.010
 3.06	 0.14	 4.968	 0.139	 2.73	 0.14	 0.196	 0.008
 0.43	 0.03	 0.168	 0.017	 2.86	 0.15	 1.173	 0.051
 0.94	 0.09	 0.461	 0.055	 2.82	 0.21	 1.122	 0.070
 0.98	 0.04	 7.906	 0.219	 2.83	 0.14	 0.149	 0.006
 3.00	 0.14	 3.996	 0.112	 2.77	 0.14	 0.269	 0.010
 3.88	 0.18	 1.494	 0.044	 2.78	 0.14	 0.387	 0.017
 3.94	 0.19	 1.299	 0.040	 2.79	 0.15	 0.253	 0.016
 4.01	 0.23	 2.495	 0.090	 2.78	 0.18	 0.321	 0.020
 2.99	 0.14	 2.544	 0.076	 2.67	 0.14	 0.241	 0.011
 2.05	 0.09	 5.311	 0.147	 2.77	 0.14	 0.136	 0.005
 4.24	 0.20	 1.964	 0.056	 2.69	 0.14	 0.332	 0.014
 3.57	 0.18	 3.248	 0.102	 2.70	 0.15	 0.314	 0.016
 2.13	 0.10	 4.837	 0.135	 2.68	 0.14	 0.135	 0.005
 3.10	 0.15	 2.377	 0.069	 2.72	 0.14	 0.179	 0.008

